period,symbol,origin,original_entry_ts,c19,c20,c20_gt_c19,old_R_minus_C63_bps,old_effect,first_breach_held,first_breach_available_at,R_exit_already_signaled_at_first_breach,breach_precedes_R_exit,old_R_final_held
DEV2025,1000PEPE-USDT,72ccedcefc1c9a1100503699df78052669299c76c2339500e8fcb3375dca50d6,1742832000000,0.0084935,0.0084399,False,-685.7211667085741,harm,21,1743134400000,,True,22
DEV2025,1000PEPE-USDT,bbdc9974a6a01f8de3058dfdd38d6bcb9faff066705f57df10dd1924abbc7621,1752091200000,0.0122405,0.0123095,True,-26.6909317684283,harm,21,1752393600000,MOMENTUM_NONPOSITIVE_CLOSE,False,21
DEV2025,1000PEPE-USDT,8c0185c8c43481fe7a78f4e9f2756227ec82f2250edf29fc653256c4bdf48fa3,1754568000000,0.0119703,0.0121206,True,-486.04311806627084,harm,21,1754870400000,,True,24
DEV2025,1000PEPE-USDT,0376eace956fcc54380b5ff41f18555ecebe0f9e495db632216f49a61d5243ab,1757246400000,0.0105452,0.0103816,False,24.470642504788657,help,,,,False,25
DEV2025,BCH-USDT,32e5cb06d1d75a9e6fec10cf00ba79d146e8af1da21390b99cd75ae248ce94ec,1735790400000,472.82,468.22,False,-19.382755224861654,harm,21,1736092800000,RUNNER_EMA20_LOSS_CLOSE,False,21
DEV2025,BCH-USDT,e8265295827f671b2c85924bdafc16eb6c170ca790bf847385f464441244512f,1746576000000,415.17,419.65,True,-70.11261285324849,harm,21,1746878400000,,True,25
DEV2025,BCH-USDT,129fe0f9cc231ae654da99c192d869caf85a5265b3fefb4c7663c5455abbdfdb,1752811200000,530.93,529.14,False,-187.853910669007,harm,21,1753113600000,,True,22
DEV2025,BCH-USDT,8b466dd149aab16b98eb7ffb19a85437cfb94ba265e57dfb2770785dd293ed62,1759104000000,585.43,585.53,True,80.16347675924897,help,,,,False,32
DEV2025,BTC-USDT,a11b50a1296aec72069daf35e6bba96a3f3cd592814135960eb5bd97687ff62e,1736856000000,103966.9,105786.8,True,-469.90234362051484,harm,21,1737158400000,,True,33
DEV2025,BTC-USDT,044b632be20bce15ff83aed9029df25363b59ed5906854cfe57cb2847cdca0c0,1745222400000,92584.3,93158.7,True,132.03710888796923,help,,,,False,39
DEV2025,BTC-USDT,7ed2145323019a51a3a4861d0aa36240e4237161ffdbe760fccf34034b524fd6,1752091200000,117386.1,117707.2,True,-49.56758256759633,harm,32,1752552000000,MOMENTUM_NONPOSITIVE_CLOSE,False,32
DEV2025,BTC-USDT,432c10565b92120237f89bf3c75a08d2f5d6f7b447876cd08dd95e381632a638,1757520000000,115746.1,115872.8,True,-45.96630966847292,harm,21,1757822400000,,True,27
DEV2025,ETH-USDT,1418ae41f4638ee96b0044963e1362187670675e07efdf776c5db8349245c407,1746676800000,2472.71,2529.23,True,-559.5001499786872,harm,21,1746979200000,,True,30
DEV2025,ETH-USDT,ef00bfadaa80ff2cd5b8482e4b99b5adf414c211b620f435bf1e8c1aee468152,1752004800000,2957.06,2965.43,True,-9.901852951883939,harm,21,1752307200000,,True,28
DEV2025,ETH-USDT,9795b1e70a123b8ffad2d3c8b9821ad7d09bd4f1f98cd0ee66703bb30489cb8d,1754568000000,4216.91,4248.02,True,1368.517132132289,help,24,1754913600000,,True,40
DEV2025,ETH-USDT,5628e0fdf8f0ecc08e98b61cc05dc59627ba37eb5806ef8ac32801983adf3747,1757577600000,4634.64,4582.34,False,0.0,unchanged,,,,False,20
DEV2025,HYPE-USDT,1a3547f9392e5923068856f8a018b8462c2dee9ea67b3efdbafd86a8b99a2b46,1736870400000,23.28,23.121,False,0.0,unchanged,,,,False,20
DEV2025,HYPE-USDT,dce9162b1d32e4ebd6b9f989d90fdf9c401667b2eb05ef0e0edef604870fc518,1742385600000,15.779,15.927,True,60.502231464975125,help,21,1742688000000,,True,39
