strategy_id,method_id,skill_id,strategy_import_ok,strategy_empty_call_ok,method_declared,strategy_hook_score,method_hook_score,resolver_ok,runtime_trigger_proven,runtime_outcome_join_proven,grade,next_gate
alpha_combo,scalp_first/revert,SK_ENTRY_LONG_BEAM,True,True,True,3,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_ENTRY_SHORT_BEAM,True,True,True,3,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_ADD_DCA,True,True,True,3,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_ADD_AVG_DOWN,True,True,True,0,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_ADD_WATER_ADD,True,True,True,0,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_ADD_PYRAMIDING,True,True,True,2,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_ADD_PROFITABLE_SCALE_IN,True,True,True,0,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_EXIT_PARTIAL_30,True,True,True,0,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_EXIT_TRAILING_STOP,True,True,True,1,1,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_EXIT_MFE_RUNNER,True,True,True,1,1,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_EXIT_RUNNER_HOLD,True,True,True,1,1,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_EXIT_TIME_STOP,True,True,True,1,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_EXIT_BREAK_EVEN_SHIFT,True,True,True,2,1,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_RISK_REDUCE_25,True,True,True,0,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_RISK_LOSS_CAP,True,True,True,1,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_RISK_COOLDOWN,True,True,True,1,1,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_RISK_EXPOSURE_LIMITER,True,True,True,0,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/revert,SK_RISK_LIQUIDATION_BUFFER_GUARD,True,True,True,0,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/continuation,SK_ENTRY_LONG_BEAM,True,True,True,3,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
alpha_combo,scalp_first/continuation,SK_ENTRY_SHORT_BEAM,True,True,True,3,0,True,False,False,UNKNOWN_REQUIRES_FORWARD_TRIGGER_AND_OUTCOME_EVIDENCE,INSTALL_READONLY_SKILL_TRIGGER_LINEAGE_OBSERVER
