strategy,score_100,verdict,missing_required,implementation_paths,registry_paths,test_paths
grid_rebalance,80,PARTIAL_ACTIVE_IMPLEMENTATION,writer_contract;tests,backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/grid_rebalance_legendary.py;backend/strategies/grid_rebalance.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,backend/config/strategies_registry.json;backend/config/strategy_legacy_disposition.json;data/strategy_registry_latest.json,
range_fade,80,DUPLICATE_IMPLEMENTATION_REVIEW_REQUIRED,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/data/journal/lbot_event.20260411.jsonl;backend/data/journal/lbot_event.20260412.jsonl;backend/data/journal/lbot_events.20260411.jsonl;backend/data/journal/lbot_events.20260412.jsonl;backend/data/journal/lbot_events_20260411.jsonl;backend/data/journal/lbot_events_20260412.jsonl;backend/data/journal/lbot_events_20260419.jsonl;backend/data/journal/lbot_events_20260420.jsonl;backend/data/paper/paper_state.latest.json;backend/data/processed/tv/20260411/1775934224_tv_smoke_1775934224.json;backend/data/processed/tv/20260411/1775934507_tv_smoke_1775934507.json;backend/data/processed/tv/20260411/1775935318_tv_smoke_1775935318.json;backend/data/processed/tv/20260412/1776024077_tv_smoke_1776024077.json;backend/data/processed/tv/20260412/1776031495_tv_smoke_1776031495.json;backend/data/processed/tv/20260420/1776705671_tv_rtspine_1776705671.json;backend/data/processed/tv/20260420/1776711127_tv_rtspine_1776711127.json;backend/data/processed/tv/20260420/1776711582_tv_rtspine_1776711582.json;backend/data/processed/tv/20260420/1776711619_tv_rtspine_1776711619.json;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/legendary_trade_constitution.py;backend/legendary_rebuild/strategies/range_fade_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/range_fade.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,backend/config/strategies_registry.json;backend/config/strategy_legacy_disposition.json;backend/contracts/ZOS_SKILL_REGISTRY_v1.json;backend/engine/strategy_registry.py;data/strategy_registry_latest.json,
rbreaker_like,80,PARTIAL_ACTIVE_IMPLEMENTATION,writer_contract;tests,backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/rbreaker_like_legendary.py;backend/strategies/rbreaker_like.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
vol_spike_fade,80,PARTIAL_ACTIVE_IMPLEMENTATION,writer_contract;tests,backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/vol_spike_fade_legendary.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
alpha_combo,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/data/journal/lbot_events_20260202.jsonl;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/alpha_combo_legendary.py;backend/scripts/replay_matrix.py;backend/strategies/alpha_combo.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/risk_gate_registry_latest.json;data/strategy_registry_latest.json,
anchor_vwap_trend,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/anchor_vwap_trend_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/scripts/replay_matrix.py;backend/strategies/anchor_vwap_trend.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
bb_revert,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/mbot.py;backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/data/journal/lbot_events_20260202.jsonl;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/bb_revert_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/scripts/replay_matrix.py;backend/strategies/bb_revert.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
break_and_continue,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/obot.py;backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/break_and_continue_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/scripts/replay_matrix.py;backend/strategies/break_and_continue.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
ema_ribbon_scalp,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/ema_ribbon_scalp_legendary.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,backend/config/ensembles.yml;backend/config/strategies_registry.json;backend/config/strategy_legacy_disposition.json;data/strategy_registry_latest.json,
fvg_revert,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/fvg_revert_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/fvg_revert.py;backend/strategies_v4/fvg_revert_v4.py;backend/strategies_v4/h85v_common.py;backend/strategies_v4/h85y_rules_from_3rd_data.json;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
keltner_trend,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/keltner_trend_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/keltner_trend.py;backend/strategies_v4/h85v_common.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
liquidity_sweep,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/prototypes/liquidity_reclaim_legendary.py;backend/legendary_rebuild/strategies/liquidity_sweep_legendary.py;backend/legendary_rebuild/trade_methods/legendary_shadow_harness.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/liquidity_sweep.py;backend/strategies_v4/h85v_common.py;backend/strategies_v4/h85y_rules_from_3rd_data.json;backend/strategies_v4/liquidity_sweep_v4.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
mfi_rsi_div,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/mfi_rsi_div_legendary.py;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/mfi_rsi_div.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
obv_trend,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/obv_trend.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
pivot_reversal,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/pivot_reversal_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/pivot_reversal.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
rsi_swing_fail,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/rsi_swing_fail_legendary.py;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/rsi_swing_fail.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
scalp_snap,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/scalp_snap_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/scalp_snap.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
session_bias,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/session_bias_legendary.py;backend/strategies/session_bias.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
squeeze_break,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/squeeze_break_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/squeeze_break.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
sr_levels,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/sr_levels_legendary.py;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/sr_levels.py;backend/strategies_v4/h85v_common.py;backend/strategies_v4/h85y_rules_from_3rd_data.json;backend/strategies_v4/sr_levels_v4.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
supertrend_pullback,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/supertrend_pullback_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/supertrend_pullback.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
trend_ma_macd,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/lbot.py;backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/trend_ma_macd_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/trend_ma_macd.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
trend_rider,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/trend_rider_legendary.py;backend/legendary_rebuild/trade_methods/legendary_shadow_harness.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/trend_rider.py;backend/strategies_v4/h85v_common.py;backend/strategies_v4/h85y_rules_from_3rd_data.json;backend/strategies_v4/trend_rider_v4.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,data/strategy_registry_latest.json,
turtle_trend,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/strategies/turtle_trend_legendary.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/scripts/replay_matrix.py;backend/strategies/turtle_trend.py;backend/strategies_v4/h85v_common.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,backend/config/ensembles.yml;backend/config/strategies_registry.json;backend/config/strategy_legacy_disposition.json;data/strategy_registry_latest.json,
vwap_revert,90,PARTIAL_ACTIVE_IMPLEMENTATION,tests,backend/bots/strategy_catalog.py;backend/bots/strategy_engine.py;backend/bots/strategy_fit.py;backend/legendary_rebuild/audit/legendary_active25_audit_latest.json;backend/legendary_rebuild/legendary_manifest.json;backend/legendary_rebuild/prototypes/vwap_revert_legendary.py;backend/legendary_rebuild/strategies/vwap_revert_legendary.py;backend/legendary_rebuild/trade_methods/legendary_shadow_harness.py;backend/logs/bot_diff/20260409.jsonl;backend/logs/bot_diff/20260410.jsonl;backend/logs/bot_diff/20260411.jsonl;backend/logs/bot_diff/20260412.jsonl;backend/logs/bot_diff/20260505.jsonl;backend/strategies/vwap_revert.py;backend/strategies_v4/h85v_common.py;backend/strategies_v4/h85y_rules_from_3rd_data.json;backend/strategies_v4/vwap_revert_v4.py;backend/trade_methods/policy.py;backend/trade_methods/profiles.py,config/ensembles.yml;data/strategy_registry_latest.json,
