strategy,proposed_owner,kind,sha256,verdict,confidence,margin,full_direct_count,alternatives
alpha_combo,backend/strategies/alpha_combo.py,canonical,2cdf64e5e66cf9e2151fbf6d82546d2a9b65a024d1acb1d53bd3d4a62fac30e3,PROPOSED_OWNER_CONFIDENT,0.98,107,1,backend/legendary_rebuild/strategies/alpha_combo_legendary.py=GENERIC_LEGENDARY_RESERVE
anchor_vwap_trend,backend/strategies/anchor_vwap_trend.py,canonical,37712baa33d8ccb8588c4ac7ddf7b17b143d83d4a0050ca164fb9f1655db32e3,PROPOSED_OWNER_CONFIDENT,0.98,105,1,backend/legendary_rebuild/strategies/anchor_vwap_trend_legendary.py=GENERIC_LEGENDARY_RESERVE
bb_revert,backend/strategies/bb_revert.py,canonical,7bbf728f3624eb2960ab37245ab39762918e1ed3512b1c1d3ae1d595e8977f3c,PROPOSED_OWNER_CONFIDENT,0.98,104,1,backend/legendary_rebuild/strategies/bb_revert_legendary.py=GENERIC_LEGENDARY_RESERVE
break_and_continue,backend/strategies/break_and_continue.py,canonical,74950c1f68ef9d261a71421590c671532908d003839482409ebfb99a920d832d,PROPOSED_OWNER_CONFIDENT,0.98,104,1,backend/legendary_rebuild/strategies/break_and_continue_legendary.py=GENERIC_LEGENDARY_RESERVE
ema_ribbon_scalp,backend/legendary_rebuild/strategies/ema_ribbon_scalp_legendary.py,legendary,732b342419cd94e4eba93f96de6f83c793c046dce7921ab7eee8f000fbccd971,NO_SPECIALIZED_DIRECT_OWNER,0.3,12,0,
fvg_revert,backend/strategies/fvg_revert.py,canonical,d755efdcebf45e0b26e9ec8ff988226d3e85a13789b512ea5f9a705fc579bb54,PROPOSED_OWNER_CONFIDENT,0.98,102,1,backend/legendary_rebuild/strategies/fvg_revert_legendary.py=GENERIC_LEGENDARY_RESERVE;backend/strategies_v4/fvg_revert_v4.py=THIN_V4_OVERLAY_RESERVE
grid_rebalance,backend/strategies/grid_rebalance.py,canonical,738e63b45dd8a9f47b826632448a9443b56e7660aaec52725468db93e1d6c29f,PROPOSED_OWNER_CONFIDENT,0.98,104,1,backend/legendary_rebuild/strategies/grid_rebalance_legendary.py=GENERIC_LEGENDARY_RESERVE
keltner_trend,backend/strategies/keltner_trend.py,canonical,cddfeacdface8efbb40eae62b716e6bb9ccbb38d6c8dec0b5f9fd4ebb639da4a,PROPOSED_OWNER_CONFIDENT,0.98,101,1,backend/legendary_rebuild/strategies/keltner_trend_legendary.py=GENERIC_LEGENDARY_RESERVE
liquidity_sweep,backend/strategies/liquidity_sweep.py,canonical,67d177b02776ec159d34e83fc346c495a87e0d76648901165895bcc83af9b18f,PROPOSED_OWNER_CONFIDENT,0.98,35,2,backend/legendary_rebuild/strategies/liquidity_sweep_legendary.py=LEGENDARY_ABLATION_CANDIDATE;backend/strategies_v4/liquidity_sweep_v4.py=THIN_V4_OVERLAY_RESERVE
mfi_rsi_div,backend/strategies/mfi_rsi_div.py,canonical,6fb03cb262197dde22e286d08c7a98479552f318a0eb2f4409d673eaf484ec7c,PROPOSED_OWNER_CONFIDENT,0.98,109,1,backend/legendary_rebuild/strategies/mfi_rsi_div_legendary.py=GENERIC_LEGENDARY_RESERVE
obv_trend,backend/strategies/obv_trend.py,canonical,21810678967758ac1236ab691a4f3ba76e3ec3486fa16e1fdc708f2e0194b6e3,SINGLE_DIRECT_OWNER_CANDIDATE,0.93,120,1,
pivot_reversal,backend/strategies/pivot_reversal.py,canonical,d6d16767b1932a3b6b049f9254f78e7159154461d5d0eb30575570028d736c9e,PROPOSED_OWNER_CONFIDENT,0.98,105,1,backend/legendary_rebuild/strategies/pivot_reversal_legendary.py=GENERIC_LEGENDARY_RESERVE
range_fade,backend/strategies/range_fade.py,canonical,9aa21be541dfb47496d67b60f6675e23c7e80095d3747c246eb6ba0d028b5c7d,PROPOSED_OWNER_CONFIDENT,0.98,109,1,backend/legendary_rebuild/strategies/range_fade_legendary.py=GENERIC_LEGENDARY_RESERVE
rbreaker_like,backend/strategies/rbreaker_like.py,canonical,4460902b968ebcbb7547a3a6e5b45931f4e44b480c8d0403424f2b795026390b,PROPOSED_OWNER_CONFIDENT,0.98,109,1,backend/legendary_rebuild/strategies/rbreaker_like_legendary.py=GENERIC_LEGENDARY_RESERVE
rsi_swing_fail,backend/strategies/rsi_swing_fail.py,canonical,5add278976593751a788c905a8232e0b87daee16fe782fc58f18eb5c6838e23d,PROPOSED_OWNER_CONFIDENT,0.98,105,1,backend/legendary_rebuild/strategies/rsi_swing_fail_legendary.py=GENERIC_LEGENDARY_RESERVE
scalp_snap,backend/strategies/scalp_snap.py,canonical,c39847a06899a2e5f7c925069dbf643078da11a8d59eea9e04722d42bc7d20a4,PROPOSED_OWNER_CONFIDENT,0.98,105,1,backend/legendary_rebuild/strategies/scalp_snap_legendary.py=GENERIC_LEGENDARY_RESERVE
session_bias,backend/strategies/session_bias.py,canonical,de9314ca72f686c8793a3f0a56b81937302b9a89de4ea11edd3ec33e90efe123,PROPOSED_OWNER_CONFIDENT,0.98,105,1,backend/legendary_rebuild/strategies/session_bias_legendary.py=GENERIC_LEGENDARY_RESERVE
squeeze_break,backend/strategies/squeeze_break.py,canonical,c22b4016601ce37fc28999ca7690804c92d3f04997b4d01f06775aa49837ed38,PROPOSED_OWNER_CONFIDENT,0.98,111,1,backend/legendary_rebuild/strategies/squeeze_break_legendary.py=GENERIC_LEGENDARY_RESERVE
sr_levels,backend/strategies/sr_levels.py,canonical,81961254c685e735d90df418fb9e75d527199017370237efda8614ef74d680f1,PROPOSED_OWNER_CONFIDENT,0.98,106,1,backend/legendary_rebuild/strategies/sr_levels_legendary.py=GENERIC_LEGENDARY_RESERVE;backend/strategies_v4/sr_levels_v4.py=THIN_V4_OVERLAY_RESERVE
supertrend_pullback,backend/strategies/supertrend_pullback.py,canonical,b5398dfce04260422f04a758736d210763dc8c6097eeca953af82a56eb80fe25,PROPOSED_OWNER_CONFIDENT,0.98,104,1,backend/legendary_rebuild/strategies/supertrend_pullback_legendary.py=GENERIC_LEGENDARY_RESERVE
trend_ma_macd,backend/strategies/trend_ma_macd.py,canonical,04d98299bd3bd869c379585ba3aed364e2448e180cacaaf21277a4f88a63ec94,PROPOSED_OWNER_CONFIDENT,0.98,105,1,backend/legendary_rebuild/strategies/trend_ma_macd_legendary.py=GENERIC_LEGENDARY_RESERVE
trend_rider,backend/strategies/trend_rider.py,canonical,0fcb0e42b843cd4cdc388a680b809388acf210482547a1d4790af5f688cff290,PROPOSED_OWNER_CONFIDENT,0.98,34,2,backend/legendary_rebuild/strategies/trend_rider_legendary.py=LEGENDARY_ABLATION_CANDIDATE;backend/strategies_v4/trend_rider_v4.py=THIN_V4_OVERLAY_RESERVE
turtle_trend,backend/strategies/turtle_trend.py,canonical,c9373eb1b6ea12464c027f177d6d8e49be0ad33635a22442bed9ff605807a80b,PROPOSED_OWNER_CONFIDENT,0.98,100,1,backend/legendary_rebuild/strategies/turtle_trend_legendary.py=GENERIC_LEGENDARY_RESERVE
vol_spike_fade,backend/legendary_rebuild/strategies/vol_spike_fade_legendary.py,legendary,11851a052af0cbe31769e2185f96e053c9670ad2a8c5abbe05574903b9b33da0,NO_SPECIALIZED_DIRECT_OWNER,0.3,15,0,
vwap_revert,backend/strategies/vwap_revert.py,canonical,52d2a4454311a604edcb9d74596dc65d092c84267e5fc439b794becd5432e338,PROPOSED_OWNER_CONFIDENT,0.98,26,2,backend/legendary_rebuild/strategies/vwap_revert_legendary.py=LEGENDARY_ABLATION_CANDIDATE;backend/strategies_v4/vwap_revert_v4.py=THIN_V4_OVERLAY_RESERVE
