strategy,module_count,has_callable,has_contract_terms,registry_evidence_count,writer_verdict
alpha_combo,2,True,False,5,
anchor_vwap_trend,2,True,False,5,
bb_revert,2,True,False,5,
break_and_continue,2,True,False,5,
ema_ribbon_scalp,1,True,False,6,
fvg_revert,3,True,False,5,
grid_rebalance,2,True,False,5,WRITER_PATH_UNRESOLVED
keltner_trend,2,True,False,5,
liquidity_sweep,3,True,False,5,
mfi_rsi_div,2,True,False,5,
obv_trend,1,True,False,4,
pivot_reversal,2,True,False,5,
range_fade,2,True,False,10,
rbreaker_like,2,True,False,4,WRITER_PATH_UNRESOLVED
rsi_swing_fail,2,True,False,5,
scalp_snap,2,True,False,5,
session_bias,2,True,False,5,
squeeze_break,2,True,False,5,
sr_levels,3,True,False,5,
supertrend_pullback,2,True,False,5,
trend_ma_macd,2,True,False,5,
trend_rider,3,True,False,5,
turtle_trend,2,True,False,6,
vol_spike_fade,1,True,False,4,WRITER_PATH_UNRESOLVED
vwap_revert,3,True,False,5,
