strategy_id,claim_tier,failure_fingerprint,strategy_call_count,signal_count,valid_entry_count,open_count,close_count,censored_open_at_window_end,error_count,net_R_ex_funding,expectancy_R_ex_funding,profit_factor_ex_funding,max_drawdown_R_ex_funding,win_rate_pct,net_R_including_funding_estimate,average_MFE_R,average_MAE_R,average_exposure_min
rbreaker_like,LOW_SAMPLE_HOLD,NEAR_BREAKEVEN,82815,23,15,15,15,0,0,-0.2795825605105108,-0.018638837367367385,0.9177621346541407,1.614253649806554,46.666666666666664,-0.2913731336036549,0.49573539652340554,-0.3477112780654714,113.0
turtle_trend,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,3352,1597,1597,1597,0,0,-155.48722344491804,-0.09736206853157042,0.5430694660402142,160.8652153988872,36.31809643080777,-155.53653862221972,0.31637837486690973,-0.3297114743531973,118.30932999373826
rsi_swing_fail,HYPOTHESIS_ONLY,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,31,31,31,31,0,0,-3.820669704675327,-0.12324740982823634,0.6101422208729159,4.877908080400272,41.935483870967744,-3.7731973000505374,0.5150080817904772,-0.5331246671938592,110.3225806451613
alpha_combo,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,4214,2838,2838,2835,3,0,-440.0599108261335,-0.155223954436026,0.6135744674086419,455.3056349730714,35.48500881834215,-439.93709946226653,0.6695912588755101,-0.5326680028199308,108.65608465608466
squeeze_break,COMPONENT_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,569,257,257,257,0,0,-40.72504772966883,-0.15846322073801092,0.5114254912793722,41.162500603060494,33.85214007782101,-40.708179104952634,0.4703328207247126,-0.4512294349244161,115.7976653696498
trend_ma_macd,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,695,513,513,513,0,0,-84.5024040762038,-0.16472203523626472,0.6570165450921632,96.17390220101599,34.50292397660819,-84.57633509119499,0.8293386060928366,-0.6945240322696736,103.30409356725146
anchor_vwap_trend,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,806,609,609,609,0,0,-125.71130052112365,-0.20642249675061342,0.5748282061819728,132.1042512901707,34.48275862068966,-125.97828997356062,0.7931142919301675,-0.6460511278576162,101.52709359605912
obv_trend,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,1823,715,715,714,1,0,-150.56263622126812,-0.21087203952558564,0.6362859040040914,158.6482503316697,34.87394957983193,-150.93874218248445,0.985920009767502,-0.7639469756335466,94.39075630252101
vwap_revert,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,8916,7004,7004,6999,5,0,-1608.4451217367632,-0.22981070463448525,0.597376600538288,1609.5720188620871,37.93399057008144,-1608.6402859766008,0.8901093286433615,-0.8382641894511327,87.56965280754393
pivot_reversal,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,376,354,354,352,2,0,-88.44687215553111,-0.2512695231691223,0.6328999644690074,91.73247318555056,38.63636363636363,-88.5517480610701,1.1508928480987204,-0.869547476182773,82.58522727272727
ema_ribbon_scalp,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,3200,2468,2468,2462,6,0,-671.5473569527887,-0.2727649703301334,0.5655349134229438,676.4903062299734,41.18602761982129,-672.3714448118984,0.9948874011715563,-0.8086367285151268,70.66815597075548
liquidity_sweep,HYPOTHESIS_ONLY,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,83,82,82,82,0,0,-23.921897251775942,-0.29173045428995054,0.5216217235583283,27.945379596607392,32.926829268292686,-23.943237395568804,0.9383020629818274,-0.827489181140827,89.8170731707317
grid_rebalance,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,14216,4183,4183,4178,5,0,-1413.7178832992256,-0.3383719203684108,0.451293025220025,1413.7178832992256,33.05409286740067,-1413.0411761496755,0.8316420934357727,-0.7591671863969884,62.30852082336046
scalp_snap,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,745,461,461,461,0,0,-158.7918356701331,-0.34445083659464865,0.445253240825254,161.3172399904698,38.611713665943604,-158.81395299009904,0.8508328491546694,-0.8447420835529131,60.58568329718004
vol_spike_fade,INTEGRATED_RESEARCH_REVIEW,NEGATIVE_OR_UNSTABLE_OOS_EDGE,82815,941,604,604,604,0,0,-288.11668565671164,-0.4770143802263434,0.4323013058862368,293.4349085432489,27.483443708609272,-287.9792604896188,1.2683158234647518,-1.3760044059074017,54.908940397350996
bb_revert,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,82815,0,0,0,0,0,0,0,,,0.0,,0,,,
break_and_continue,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,82815,0,0,0,0,0,0,0,,,0.0,,0,,,
fvg_revert,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,82815,0,0,0,0,0,0,0,,,0.0,,0,,,
keltner_trend,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,82815,0,0,0,0,0,0,0,,,0.0,,0,,,
mfi_rsi_div,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,82815,0,0,0,0,0,0,0,,,0.0,,0,,,
range_fade,ZERO_TRADES_HOLD,ZERO_TRADES_GATE_OR_NO_OPPORTUNITY,82815,0,0,0,0,0,0,0,,,0.0,,0,,,
