timestamp_ms,open,high,low,close,volume
1774773000000,8.522,8.531,8.514,8.519,3045.2
1774773900000,8.519,8.521,8.512,8.517,2914.1
1774774800000,8.517,8.539,8.504,8.52,6913.0
1774775700000,8.52,8.528,8.513,8.519,2718.9
1774776600000,8.519,8.525,8.494,8.502,6311.3
1774777500000,8.503,8.508,8.501,8.502,3066.8
1774778400000,8.502,8.502,8.478,8.481,7426.5
1774779300000,8.485,8.486,8.465,8.466,8713.3
1774780200000,8.466,8.473,8.45,8.464,5680.5
1774781100000,8.462,8.475,8.462,8.468,3227.4
1774782000000,8.468,8.522,8.464,8.503,6142.7
1774782900000,8.505,8.508,8.49,8.502,3303.0
1774783800000,8.502,8.513,8.498,8.51,3634.3
1774784700000,8.51,8.52,8.501,8.502,3837.1
1774785600000,8.501,8.507,8.49,8.491,5563.0
1774786500000,8.49,8.498,8.484,8.49,5873.3
1774787400000,8.49,8.498,8.47,8.473,4263.6
1774788300000,8.471,8.496,8.467,8.491,4955.7
1774789200000,8.489,8.491,8.41,8.428,22612.8
1774790100000,8.426,8.453,8.417,8.449,13435.7
1774791000000,8.449,8.457,8.443,8.448,9886.3
1774791900000,8.448,8.454,8.421,8.425,4355.4
1774792800000,8.425,8.479,8.416,8.455,11497.9
1774793700000,8.453,8.46,8.433,8.433,13622.0
1774794600000,8.434,8.448,8.43,8.438,6261.7
1774795500000,8.44,8.44,8.424,8.433,6379.2
1774796400000,8.433,8.448,8.414,8.427,11017.8
1774797300000,8.432,8.447,8.385,8.407,16992.9
1774798200000,8.407,8.415,8.4,8.411,6522.7
1774799100000,8.411,8.424,8.406,8.421,2947.3
1774800000000,8.421,8.427,8.414,8.423,5578.5
1774800900000,8.423,8.46,8.417,8.45,9104.4
1774801800000,8.45,8.452,8.427,8.428,4638.9
1774802700000,8.428,8.434,8.42,8.428,4149.6
1774803600000,8.428,8.447,8.42,8.424,6630.4
1774804500000,8.424,8.424,8.391,8.4,7177.2
1774805400000,8.4,8.435,8.397,8.435,5532.4
1774806300000,8.435,8.435,8.42,8.426,4402.9
1774807200000,8.426,8.431,8.407,8.422,2939.4
1774808100000,8.424,8.435,8.409,8.422,2823.3
1774809000000,8.422,8.454,8.42,8.443,3811.7
1774809900000,8.443,8.443,8.433,8.436,3733.4
1774810800000,8.436,8.438,8.42,8.426,2625.3
1774811700000,8.424,8.44,8.422,8.425,3524.8
1774812600000,8.424,8.432,8.405,8.414,4695.2
1774813500000,8.414,8.424,8.412,8.416,2815.3
1774814400000,8.416,8.441,8.412,8.426,4190.2
1774815300000,8.428,8.483,8.426,8.466,6704.3
1774816200000,8.468,8.471,8.452,8.454,7715.8
1774817100000,8.452,8.456,8.445,8.456,3071.3
1774818000000,8.454,8.474,8.45,8.458,4182.4
1774818900000,8.46,8.467,8.456,8.462,2720.5
1774819800000,8.462,8.48,8.459,8.472,4972.0
1774820700000,8.47,8.483,8.47,8.474,2905.2
1774821600000,8.476,8.476,8.405,8.42,9209.3
1774822500000,8.42,8.443,8.414,8.426,3908.2
1774823400000,8.426,8.429,8.29,8.319,43801.4
1774824300000,8.317,8.393,8.197,8.376,76640.1
1774825200000,8.376,8.443,8.364,8.406,21308.3
1774826100000,8.404,8.44,8.396,8.4,76313.1
1774827000000,8.4,8.418,8.388,8.407,6353.1
1774827900000,8.407,8.436,8.384,8.41,6917.2
1774828800000,8.408,8.422,8.395,8.404,5904.1
1774829700000,8.404,8.559,8.4,8.501,32419.8
1774830600000,8.503,8.529,8.443,8.457,8040.5
1774831500000,8.457,8.483,8.443,8.477,4371.4
1774832400000,8.477,8.527,8.475,8.489,7458.3
1774833300000,8.487,8.523,8.48,8.512,3905.8
1774834200000,8.514,8.538,8.504,8.524,6080.1
1774835100000,8.526,8.556,8.524,8.542,4772.1
1774836000000,8.542,8.579,8.532,8.573,8775.4
